ID	protein_product	biological_class	mRNA_expression	protein_expression	length	GC
VNG_0711C	redoxin domain protein	Posttranslational modification, protein turnover, chaperones	2.4067842838461218	2.9651250963302034	582	0.7044673539518901
VNG_0713C	probable methyltransferase	General function prediction only	1.6057155680657023	NA	696	0.7227011494252874
VNG_0715G	phosphomethylpyrimidine synthase	Coenzyme transport and metabolism	4.0611224758128115	4.100810086630953	1431	0.6918238993710691
VNG_0716G	sensor box histidine kinase	Signal transduction mechanisms	NA	NA	1629	0.7225291589932474
VNG_0717H	uncharacterized protein	Function unknown	2.402126360853542	2.5316482911240317	327	0.691131498470948
VNG_0718C	phosphoglycolate phosphatase	General function prediction only	2.029088825665257	2.3440829384157986	678	0.7079646017699115
VNG_0719G	HAD superfamily hydrolase	Nucleotide transport and metabolism	NA	NA	798	0.7180451127819549
VNG_0720G	MATE efflux family protein	Defense mechanisms	NA	NA	1428	0.7058823529411765
VNG_0723G	probable Xaa-Pro dipeptidase	Amino acid transport and metabolism	2.1216348513069563	2.668056289681805	1110	0.7261261261261261
VNG_0724H	uncharacterized protein	Function unknown	NA	NA	261	0.735632183908046
VNG_0725H	HTH domain protein	Transcription	2.626158606485932	2.5230009074860305	909	0.7029702970297029
VNG_0726C	TetR family transcription regulator	Transcription	2.938581353903113	2.3716975702215	591	0.6734348561759729
VNG_0727C	MATE efflux family protein	Defense mechanisms	2.673942890003243	2.8484343657336364	1485	0.6781144781144781
VNG_0729H	uncharacterized protein	Function unknown	2.1770186007669245	2.550360050754579	618	0.7071197411003236
VNG_0730C	2-dehydropantoate 2-reductase	Coenzyme transport and metabolism	1.9790750784372304	2.239302658507033	912	0.7258771929824561
VNG_0731H	DUF422 family protein	Function unknown	NA	NA	471	0.7409766454352441
VNG_0732G	RNA 3'-terminal phosphate cyclase	Translation, ribosomal structure and biogenesis	3.037974295043579	3.1810270352979546	1020	0.7088235294117647
VNG_0733H	DUF1684 family protein	Function unknown	2.1305453386812876	2.3491688136106568	549	0.7067395264116576
VNG_0734G	transcription initiation factor TFB	Transcription	3.0265596714157517	1.8745051950096632	978	0.6656441717791411
VNG_0735G	receiver box response regulator	Signal transduction mechanisms	2.5568766921025414	2.00455313720065	588	0.6649659863945578
VNG_0736G	sensor box histidine kinase	Signal transduction mechanisms	2.1275093093441204	2.1178825009642264	1914	0.6964472309299895
VNG_0737H	uncharacterized protein	Function unknown	NA	NA	225	0.6533333333333333
VNG_0738H	uncharacterized protein	Function unknown	1.6437691121622888	2.5777326951477	444	0.740990990990991
VNG_0740C	cyclase family protein	Amino acid transport and metabolism	2.089696102852717	2.142370364383127	633	0.7266982622432859
VNG_0741H	uncharacterized protein	Function unknown	NA	NA	303	0.735973597359736
VNG_0742H	DICT domain protein	Signal transduction mechanisms	2.44634073913309	2.1023312586325362	705	0.6893617021276596
VNG_0743H	UspA domain protein	Signal transduction mechanisms	3.142026052036703	3.5189757708215277	447	0.6554809843400448
VNG_0745G	SpoVR family protein	General function prediction only	1.5938200290079383	2.138696049350163	1983	0.6686838124054463
VNG_0746C	UPF0229 family protein	Function unknown	1.427050569307228	2.1703420869244527	1329	0.6817155756207675
VNG_0748G	probable PrkA-type serine/threonine proteinkinase	Signal transduction mechanisms	1.3009385942149865	2.485573791269464	2271	0.6979304271246147
VNG_0749G	probable PrkA-type serine/threonine proteinkinase	Signal transduction mechanisms	1.679011875317405	3.1523142468011405	2058	0.6506316812439261
VNG_0750C	GAF domain protein	Signal transduction mechanisms	2.151505828386247	2.419786116129592	720	0.7027777777777777
VNG_0751C	PadR family transcription regulator	Transcription	3.658297989663303	2.608120487805962	315	0.6158730158730159
VNG_0752G	GalE family epimerase/dehydratase	Cell wall/membrane/envelope biogenesis	2.8526010870974283	3.580119924395468	945	0.6846560846560846
VNG_0753G	transport protein (probable substratephosphate/sulfate)	Inorganic ion transport and metabolism	2.312247367127447	NA	1179	0.6870229007633588
VNG_0754C	glutamate/valine-rich protein	Function unknown	2.9221106342926335	2.234665283594026	657	0.624048706240487
VNG_0755C	tRNA (cytidine(56)-2'-O)-methyltransferase	General function prediction only	2.565998115124148	2.7038526070523443	579	0.7046632124352331
VNG_0757G	transcription initiation factor TFE alpha subunit	Transcription	3.024043344452539	3.6535757352786224	519	0.6473988439306358
VNG_0758C	DUF2110 family protein	Function unknown	3.1228322323957167	3.430775043653198	672	0.7068452380952381
VNG_0759H	uncharacterized protein	Function unknown	3.160813345535928	2.81479368914562	726	0.6955922865013774
VNG_0761G	ADP-ribose pyrophosphatase	General function prediction only	2.544465793094275	2.6146024530142427	696	0.6853448275862069
VNG_0762H	uncharacterized protein	Function unknown	NA	NA	114	0.631578947368421
VNG_0763G	probable PAP2-type phosphatase	Lipid transport and metabolism	NA	NA	627	0.69377990430622
VNG_0764C	homolog to NAD kinase	Nucleotide transport and metabolism	2.2137484555351135	1.7287240209366035	1077	0.72330547818013
VNG_0765H	uncharacterized protein	Function unknown	NA	NA	171	0.5497076023391813
VNG_0766G	PhoU domain protein	Inorganic ion transport and metabolism	2.2232387099528155	2.181492881934368	1029	0.6724975704567542
VNG_0767H	uncharacterized protein	Function unknown	NA	NA	186	0.6559139784946236
VNG_0768H	HTH domain protein	Transcription	NA	NA	225	0.6266666666666667
VNG_0769H	START domain protein	Energy production and conversion	2.775360566900716	2.918559571078371	411	0.6496350364963503
VNG_0771a	RIO-type protein kinase domain protein	Function unknown	NA	NA	849	0.6984687868080094
VNG_0771G	aldehyde dehydrogenase	Energy production and conversion	3.99216138035019	4.503250572841801	1512	0.6640211640211641
VNG_0772H	spurious ORF	Function unknown	NA	NA	264	0.7083333333333334
VNG_0775G	acyl-CoA dehydrogenase	Lipid transport and metabolism	2.593771159450773	2.8381825972611185	1140	0.6903508771929825
VNG_0777G	FAD synthase	Cell wall/membrane/envelope biogenesis	2.6066052800524546	2.4217194087108656	441	0.7165532879818595
VNG_0778C	JAB domain protein	Posttranslational modification, protein turnover, chaperones	2.6880707974713403	2.212433890343883	486	0.6728395061728395
VNG_0782H	HEAT-PBS family protein	Function unknown	3.2678025198931895	4.073955413979777	1302	0.7027649769585254
VNG_0784G	probable archaetidylserine synthase	Lipid transport and metabolism	NA	NA	678	0.7271386430678466
VNG_0786G	halocyanin HcpH	Energy production and conversion	2.664612146282425	1.8245620988393603	450	0.6711111111111111
VNG_0787G	30S ribosomal protein S1e	Translation, ribosomal structure and biogenesis	4.2220474884890855	4.579834279287597	621	0.644122383252818
VNG_0788H	uncharacterized protein	Function unknown	NA	NA	246	0.6626016260162602
VNG_0789C	probable replication complex protein RecJ2	Replication, recombination and repair	3.1381395703670005	2.257815743889598	1104	0.7545289855072463
VNG_0790G	30S ribosomal protein S15	Translation, ribosomal structure and biogenesis	4.246385989611276	4.425411050238978	468	0.6602564102564102
VNG_0793G	transducer protein HtrVI	Cell motility	2.799799132045249	2.5832820963864265	2370	0.6911392405063291
VNG_0794G	chemotactic signal transduction systemperiplasmic substrate-binding protein	General function prediction only	2.944819615008421	2.592240269017177	1140	0.7157894736842105
VNG_0795G	halocyanin HcpC	Energy production and conversion	3.3945446746353944	2.824411876641415	507	0.6449704142011834
VNG_0796G	cystathionine synthase/lyase (cystathionine gamma-synthase, cystathionine gamma-lyase, cystathioninebeta-lyase)	Amino acid transport and metabolism	3.271833247159398	2.51431267435455	1218	0.6773399014778325
VNG_0798H	uncharacterized protein	Energy production and conversion	2.465124527765544	2.332522555057362	1269	0.7100078802206462
VNG_0799C	ABC-type transport system ATP-binding protein	Defense mechanisms	1.573546176362185	NA	702	0.7507122507122507
VNG_0800H	ABC-type transport system permease protein	Defense mechanisms	NA	NA	597	0.7604690117252931
VNG_0801C	Sec-independent protein translocase proteinTatA	Intracellular trafficking, secretion, and vesicular transport	4.18938040000734	3.5625066610893326	291	0.6563573883161512
VNG_0804C	HD family hydrolase	General function prediction only	2.4126045324226277	2.8956424042529973	813	0.6801968019680197
VNG_0806G	transducer protein Htr4	Cell motility	2.525404318949235	2.905074158797783	2337	0.6979032948224219
VNG_0808G	succinate-semialdehyde dehydrogenase	Energy production and conversion	2.1896424443338014	2.7877902471074956	1362	0.7283406754772394
VNG_0810H	uncharacterized protein	Function unknown	2.0696322033542547	2.0951882145434486	615	0.6780487804878049
VNG_0811H	uncharacterized protein	Function unknown	NA	NA	324	0.6759259259259259
VNG_0812G	transducer protein Htr18	Cell motility	1.6477474858234604	1.4179575401274045	2451	0.6576907384740922
VNG_0813G	chemotactic signal transduction systemperiplasmic substrate-binding protein	Amino acid transport and metabolism	1.4697941362519096	1.922883319193247	1251	0.6730615507593924
VNG_0814C	homolog to NAD-dependent epimerase/dehydratase	General function prediction only	2.008792349141435	2.923422012033771	633	0.7361769352290679
VNG_0815G	NADPH:quinone reductase	Secondary metabolites biosynthesis, transport and catabolism	2.601089505357921	3.2673130830061994	1011	0.6913946587537092
VNG_0816G	chitinase	Function unknown	NA	NA	1641	0.65569774527727
VNG_0818C	chitinase	Function unknown	NA	NA	1719	0.6794648051192553
VNG_0819C	chitin-binding domain protein	Function unknown	NA	NA	1686	0.6927639383155397
VNG_0821C	tRNA(carboxymethyluridine(34)-5-O)-methyltransferase	Secondary metabolites biosynthesis, transport and catabolism	2.5163364482305948	1.968316027477035	654	0.709480122324159
VNG_0822C	type IV pilus biogenesis complex membranesubunit	Cell motility	NA	NA	2136	0.7027153558052435
VNG_0823G	type IV pilus biogenesis complex ATPase subunit	Cell motility	3.1260709166287097	1.9176886984330739	1653	0.6581972171808832
VNG_0824G	molybdenum cofactor guanylyltransferase	Coenzyme transport and metabolism	NA	NA	702	0.7321937321937322
VNG_0825C	molybdopterin-guanine dinucleotide biosynthesisadapter protein MobB	Coenzyme transport and metabolism	NA	NA	447	0.7248322147651006
VNG_0826C	HTH-10 family transcription regulator DmsR	Transcription	NA	NA	675	0.6785185185185185
VNG_0828H	uncharacterized protein	Function unknown	NA	NA	240	0.6708333333333333
VNG_0829G	dimethylsulfoxide reductase subunit A	Function unknown	NA	NA	2514	0.6630867143993636
VNG_0830G	dimethylsulfoxide reductase subunit B	Energy production and conversion	NA	NA	789	0.6451204055766794
VNG_0831G	dimethylsulfoxide reductase subunit C	Energy production and conversion	NA	NA	1308	0.6804281345565749
VNG_0832C	Tat proofreading chaperone DmsD	General function prediction only	NA	NA	579	0.694300518134715
VNG_0834C	DUF106 family protein	Intracellular trafficking, secretion, and vesicular transport	NA	NA	891	0.6430976430976431
VNG_0835G	SirR/DtxR family transcription regulator Idr2	Transcription	2.4512236453520546	2.2933555331507756	363	0.6308539944903582
VNG_0836H	uncharacterized protein	Function unknown	NA	NA	381	0.5354330708661418
VNG_0837H	uncharacterized protein	Transcription	2.1010013537912036	2.045381219937954	378	0.6164021164021164
VNG_0838G	XerC/D-like integrase	Mobilome: prophages, transposons	2.04422562718135	1.8166632449688664	1074	0.6340782122905028
VNG_0841G	carbonic anhydrase	Inorganic ion transport and metabolism	2.501234996022309	2.66925560823558	684	0.6461988304093568
VNG_0845C	probable S-adenosylmethionine-dependentmethyltransferase	Secondary metabolites biosynthesis, transport and catabolism	1.6153284950236297	2.5163289719248896	810	0.7234567901234568
VNG_0846C	VKGC domain protein	Nucleotide transport and metabolism	1.9443046493208997	1.2786336334837252	1476	0.6971544715447154
VNG_0847H	uncharacterized protein	Function unknown	2.8007276248699955	2.7986893632545806	906	0.6942604856512141
VNG_0849C	probable coiled coil protein	Function unknown	3.209425348530823	3.729493821298052	1350	0.697037037037037
VNG_0851C	metal-dependent hydrolase domain protein	General function prediction only	2.558664022161681	2.8594900036177076	837	0.6965352449223416
VNG_0852C	HTH-10 family transcription regulator	Transcription	2.202131360335003	NA	651	0.6682027649769585
VNG_0853C	DUF964 family protein	Signal transduction mechanisms	3.358160303509979	2.7793337587750204	399	0.6791979949874687
VNG_0854C	2-(3-amino-3-carboxypropyl)histidine synthase	Translation, ribosomal structure and biogenesis	2.598514823320956	3.0040139621837763	1035	0.6492753623188405
VNG_0857C	probable rRNA methyltransferase	Function unknown	NA	NA	621	0.7278582930756844
VNG_0858C	probable rhomboid family protease	Amino acid transport and metabolism	1.8750896111925932	NA	1797	0.7212020033388982
VNG_0860G	DNA-directed RNA polymerase subunit L	Transcription	3.5786452903661266	3.3476031788556595	285	0.6526315789473685
VNG_0861H	UspA domain protein	Signal transduction mechanisms	NA	NA	471	0.7176220806794055
VNG_0862G	imidazole glycerol-phosphate synthase subunitHisF	Amino acid transport and metabolism	2.863168320804813	2.7235261184419977	822	0.6922141119221411
VNG_0863H	uncharacterized protein	Function unknown	NA	NA	138	0.6521739130434783
VNG_0864G	phosphoribosylformylglycinamidine synthasesubunit PurL	Nucleotide transport and metabolism	3.1776069279679637	3.56777164351958	2103	0.7275320970042796
VNG_0865C	PHP domain protein	General function prediction only	3.151718177267853	3.005003246347021	684	0.6973684210526315
VNG_0867G	asparagine synthase (glutamine-hydrolyzing)	Amino acid transport and metabolism	2.2348056290586453	2.2190314896761656	1083	0.7617728531855956
VNG_0868H	NUDIX family hydrolase	Replication, recombination and repair	1.9648355853529664	1.3416232615963375	474	0.7194092827004219
VNG_0869G	transcription initiation factor TFB	Transcription	1.310340317490444	NA	987	0.6899696048632219
VNG_0870G	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit C	Translation, ribosomal structure and biogenesis	3.344038507503315	3.2265104299066203	276	0.6630434782608695
VNG_0872G	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit A	Translation, ribosomal structure and biogenesis	2.837478331039414	3.251297357235518	1272	0.6973270440251572
VNG_0873G	thioesterase domain protein	Lipid transport and metabolism	2.230554424847018	2.4321210115196163	468	0.6517094017094017
VNG_0874G	TraB family protein	Function unknown	2.259405785950575	2.4577037575435368	1515	0.6759075907590759
VNG_0875C	M50 family metalloprotease	Function unknown	NA	NA	609	0.6995073891625616
VNG_0876G	phosphoribosylformylglycinamidine cyclo-ligase	Nucleotide transport and metabolism	2.831248672198908	2.8894880427333245	996	0.7188755020080321
VNG_0878G	HTH/CBS domain protein	Function unknown	2.495769417198148	2.6482615459764114	540	0.6777777777777778
VNG_0879C	UPF0212 family protein	Function unknown	3.089297220008311	3.414220321238889	366	0.6721311475409836
VNG_0880G	proteasome beta subunit	Posttranslational modification, protein turnover, chaperones	3.755513603036816	3.068789538586215	732	0.6721311475409836
VNG_0881G	DNA ligase (ATP)	Replication, recombination and repair	2.2108202752544517	2.424977591339232	1686	0.7034400948991696
VNG_0882G	HAD superfamily hydrolase	Function unknown	1.564358139591434	1.1946671419676005	774	0.7299741602067183
VNG_0883H	metal-dependent hydrolase domain protein	General function prediction only	NA	NA	795	0.720754716981132
VNG_0884G	DNA topoisomerase 6 subunit A	Replication, recombination and repair	3.1041274950774755	3.1919636188018385	1101	0.6584922797456857
VNG_0885G	DNA topoisomerase 6 subunit B	Replication, recombination and repair	3.098715863471662	3.273431989409397	2415	0.6840579710144927
VNG_0887G	DNA gyrase subunit B	Replication, recombination and repair	3.257933185548859	3.1960291612964302	1836	0.6481481481481481
VNG_0889G	DNA gyrase subunit A	Replication, recombination and repair	3.174663047968692	3.332232131281314	2475	0.6690909090909091
VNG_0890G	DUF293 domain protein	Transcription	3.4826695887708476	3.7159841149931125	534	0.6348314606741573
VNG_0891G	probable NADH dehydrogenase	Energy production and conversion	3.3899371315367604	3.85834203640895	1170	0.6820512820512821
VNG_0892a	UPF0157 family protein	Function unknown	NA	NA	525	0.6895238095238095
VNG_0892H	uncharacterized protein	Defense mechanisms	NA	NA	156	0.6153846153846154
VNG_0893G	uridine phosphorylase	Nucleotide transport and metabolism	2.6290951775830678	3.052782798307473	822	0.6958637469586375
VNG_0896G	cytidine deaminase	Nucleotide transport and metabolism	2.6793611036196565	2.714257186984184	405	0.6938271604938272
VNG_0897G	ABC-type transport system permease protein(probable substrate sugar)	General function prediction only	2.7201945837761388	1.1122989311873286	1086	0.6869244935543278
VNG_0898G	ABC-type transport system permease protein(probable substrate sugar)	General function prediction only	NA	NA	1224	0.6895424836601307
VNG_0901G	ABC-type transport system ATP-binding protein(probable substrate sugar)	General function prediction only	3.315511227228168	2.5067397553121076	1521	0.6804733727810651
VNG_0903C	ABC-type transport system periplasmicsubstrate-binding protein (probable substrate sugar)	General function prediction only	3.54048598396072	3.717861124883159	1050	0.660952380952381
VNG_0905G	phosphohexomutase (phosphoglucomutase /phosphomannomutase)	Carbohydrate transport and metabolism	2.8508978572206147	3.419401183048197	1383	0.7324656543745481
VNG_0906H	uncharacterized protein	Function unknown	3.168816415977393	2.328923443972845	480	0.66875
VNG_0907H	uncharacterized protein	Function unknown	NA	NA	147	0.6530612244897959
VNG_0908G	SSSF family transport protein	Amino acid transport and metabolism	1.8918881157363459	2.1779530553354176	1671	0.6798324356672651
VNG_0909H	uncharacterized protein	Function unknown	1.8010320184312323	1.7582822710012622	522	0.7203065134099617
VNG_0911H	uncharacterized protein	Function unknown	NA	NA	273	0.6556776556776557
VNG_0913H	uncharacterized protein	Function unknown	2.2622141999946783	NA	1452	0.709366391184573
VNG_0914H	uncharacterized protein	Inorganic ion transport and metabolism	2.2292880236876824	2.4159258491188487	1101	0.7120799273387829
VNG_0915G	kynureninase	Function unknown	NA	NA	1236	0.7411003236245954
VNG_0916G	sensor box histidine kinase	Signal transduction mechanisms	NA	NA	2298	0.721496953872933
VNG_0917G	receiver box response regulator	Signal transduction mechanisms	2.1867085282509344	1.7407206133321982	615	0.6357723577235772
VNG_0918H	ISH4-type transposase ISH4	Mobilome: prophages, transposons	NA	NA	885	0.592090395480226
VNG_0919G	dolichyl-phosphate hexosyltransferase	Cell wall/membrane/envelope biogenesis	2.431199582934877	2.7553314112948213	690	0.691304347826087
VNG_0920H	uncharacterized protein	Cell wall/membrane/envelope biogenesis	2.2666023409198877	NA	2067	0.7305273343009192
VNG_0921G	ABC-type transport system ATP-binding protein	Function unknown	3.2967599086813353	2.650223303407271	1134	0.6940035273368607
VNG_0923G	ABC-type transport system permease protein	Inorganic ion transport and metabolism	3.1837977632823447	1.752121728930189	1614	0.6914498141263941
VNG_0924G	ABC-type transport system periplasmicsubstrate-binding protein	Inorganic ion transport and metabolism	3.813337551918892	4.170737975179823	1152	0.6649305555555556
VNG_0925C	homolog to arabinopyranose mutase	General function prediction only	3.156554852321282	3.0597702029010723	1149	0.6675369886858138
VNG_0926H	spurious ORF	Function unknown	NA	NA	180	0.5722222222222222
VNG_0927C	uncharacterized protein	Function unknown	NA	NA	720	0.6986111111111111
VNG_0928G	ARM/HEAT repeat protein / protein kinase domainprotein	Signal transduction mechanisms	1.9528961465443382	1.6736643989481894	1536	0.7330729166666666
VNG_0930G	monooxygenase (homolog to alkanesulfonatemonooxygenase)	Energy production and conversion	2.053446105587508	2.519216681942016	1017	0.711897738446411
VNG_0931G	acetyl-CoA C-acetyltransferase catalyticsubunit	Lipid transport and metabolism	3.1121088776810746	3.2006566420629636	1152	0.6901041666666666
VNG_0932C	acetyl-CoA C-acetyltransferase small subunit	General function prediction only	2.573853205749105	2.8633549632242183	393	0.732824427480916
VNG_0933G	NamA family oxidoreductase	Energy production and conversion	2.3772651869380708	3.315383998946694	1101	0.7148047229791099
VNG_0934H	uncharacterized protein	Function unknown	NA	NA	174	0.6436781609195402
VNG_0935G	nitroreductase family protein	Energy production and conversion	2.1082840818525126	2.6619943323566364	642	0.7087227414330218
VNG_0936C	probable carbon-nitrogen hydrolase	Posttranslational modification, protein turnover, chaperones	NA	NA	786	0.732824427480916
VNG_0937G	aldehyde dehydrogenase	Energy production and conversion	NA	NA	1443	0.7124047124047124
VNG_0938G	GufA family transport protein (probablesubstrate zinc)	Inorganic ion transport and metabolism	NA	NA	801	0.6816479400749064
VNG_0940G	acetate--CoA ligase (ADP-forming)	Function unknown	3.4273077603200033	3.660475193041775	2103	0.6828340466000951
VNG_0941C	DRTGG domain protein	General function prediction only	3.326430838742806	3.6172624370394955	1065	0.692018779342723
VNG_0942G	purine-binding taxis protein CheW	Cell motility	3.235640661451718	3.445076339072099	399	0.6491228070175439
VNG_0943C	HTH domain protein	Transcription	NA	NA	348	0.603448275862069
VNG_0945H	uncharacterized protein	Function unknown	NA	NA	282	0.6170212765957447
VNG_0946G	ParA domain protein (arl operon protein ParA1)	Cell motility	3.120464239708663	1.9332949251335585	972	0.668724279835391
VNG_0947G	archaellar motor/biogenesis protein ArlJ	Cell motility	NA	NA	1746	0.6277205040091638
VNG_0949G	archaellar motor/biogenesis protein ArlI	Cell motility	3.1431594578561497	1.8100405595362976	1890	0.6396825396825396
VNG_0950a	arl cluster protein ArlG	Function unknown	3.2542363305244453	1.9877814702678185	456	0.6228070175438597
VNG_0950G	arl cluster protein ArlH	Cell motility	3.005353427039317	2.6174321316510243	771	0.6212710765239948
VNG_0953C	arl cluster protein ArlF	Cell motility	NA	NA	438	0.6210045662100456
VNG_0954C	arl cluster protein ArlCE	Cell motility	3.345920918839997	2.964180854020126	1515	0.6224422442244224
VNG_0955G	arl cluster protein ArlD	Cell motility	3.584858374174334	2.477191934109511	471	0.6326963906581741
VNG_0958G	transducer protein Htr15	Signal transduction mechanisms	3.401835837214351	3.237153151121954	1911	0.6598639455782312
VNG_0959H	uncharacterized protein	Function unknown	2.604292904710241	2.1519811457706015	240	0.6166666666666667
VNG_0960G	archaellin B1	Cell motility	4.436769088046415	3.8227194012057266	582	0.6099656357388317
VNG_0961G	archaellin B2	Cell motility	4.252632583714878	3.000689791834552	591	0.5939086294416244
VNG_0962G	archaellin B3	Cell motility	NA	3.439117119218837	582	0.6048109965635738
VNG_0963G	HEAT-PBS family taxis protein	Function unknown	3.3991003511362963	3.119995276622092	1221	0.6625716625716626
VNG_0964C	taxis protein CheF1	Transcription	3.2339792934329417	2.64070796523094	873	0.6185567010309279
VNG_0965C	taxis protein CheF2	Transcription	3.3481668215828377	2.574405660669331	864	0.6400462962962963
VNG_0966G	protein-glutamate O-methyltransferase CheR	Cell motility	3.339037605284442	3.3304313238374688	807	0.6431226765799256
VNG_0967G	taxis cluster protein CheD	Function unknown	3.0133990378661015	2.1436988947078484	468	0.6794871794871795
VNG_0969H	taxis cluster protein CheC	Cell motility	3.1621561279890167	2.940265357718	1140	0.6692982456140351
VNG_0970G	taxis cluster protein CheC	Cell motility	3.5284572981948372	3.100511597280587	588	0.6241496598639455
VNG_0971G	taxis sensor histidine kinase CheA	Cell motility	3.5217337165726663	3.207314997774844	2007	0.658196312904833
VNG_0973G	protein-glutamate methylesterase /protein-glutamine glutaminase CheB	Cell motility	3.4185729083746974	2.8742488048350285	1044	0.6791187739463601
VNG_0974G	response regulator CheY	Signal transduction mechanisms	3.89186042132755	3.1649896514384452	363	0.5619834710743802
VNG_0976G	purine-binding taxis protein CheW	Cell motility	3.277268752356826	3.5012714319522336	537	0.659217877094972
VNG_0978H	uncharacterized protein	Function unknown	3.134264498345031	2.251039981278836	594	0.6750841750841751
VNG_0979H	uncharacterized protein	Function unknown	NA	NA	906	0.7086092715231788
VNG_0981C	pyridoxal phosphate-dependent aminotransferase (homolog to histidinol-phosphate aminotransferase /aspartate aminotransferase)	Amino acid transport and metabolism	1.968667320711551	2.671889950473056	1116	0.7419354838709677
VNG_0982C	PRC domain protein	General function prediction only	2.9546060042116764	3.3729365238631592	291	0.6219931271477663
VNG_0983C	DHH/RecJ family phosphoesterase	Nucleotide transport and metabolism	2.6967106865889576	2.7567459366862708	1455	0.6536082474226804
VNG_0985H	HTH domain protein	Transcription	NA	NA	2007	0.536123567513702
VNG_0986H	SWIM zinc finger domain protein	Function unknown	NA	NA	528	0.5776515151515151
VNG_0987H	small CPxCG-related zinc finger protein	Function unknown	NA	NA	417	0.39568345323741005
VNG_0988H	DUF2085 family protein	Function unknown	NA	NA	378	0.4312169312169312
VNG_0989C	XerC/D-like integrase	Mobilome: prophages, transposons	NA	NA	1023	0.541544477028348
VNG_0990H	uncharacterized protein	Function unknown	NA	NA	174	0.5977011494252874
VNG_0991H	uncharacterized protein	Function unknown	3.1734271207970823	NA	342	0.5818713450292398
VNG_0992H	uncharacterized protein	Function unknown	2.4580722079592245	2.607187456783744	711	0.6090014064697609
VNG_0993H	uncharacterized protein	Function unknown	NA	NA	813	0.48462484624846247
VNG_0995H	small CPxCG-related zinc finger protein	Function unknown	4.324109561477213	2.94874181113114	189	0.6878306878306878
VNG_0996G	integrase family protein / bat box HTH-10 familytranscription regulator	Transcription	2.5303153929266924	NA	1806	0.7547065337763013
VNG_0997G	acyl-CoA synthetase	Lipid transport and metabolism	2.3688570221760177	3.118071652495246	2004	0.686127744510978
VNG_0998G	probable oxidoreductase (aldo-keto reductasefamily protein)	Energy production and conversion	2.9298909054428703	3.6309830217736825	1011	0.6983184965380811
VNG_0999H	uncharacterized protein	Function unknown	NA	NA	270	0.6296296296296297
VNG_1000H	DUF2061 family protein	Function unknown	NA	NA	210	0.6428571428571429
VNG_1001G	inosine-5'-monophosphate dehydrogenase	Nucleotide transport and metabolism	3.219365697840635	3.8999737087558253	1500	0.684
VNG_1002H	uncharacterized protein	Function unknown	NA	NA	918	0.7233115468409586
VNG_1003H	small CPxCG-related zinc finger protein	Function unknown	NA	NA	225	0.6355555555555555
VNG_1005H	uncharacterized protein	Function unknown	2.0772122901030223	3.073765324958775	213	0.6713615023474179
VNG_1006H	uncharacterized protein	Function unknown	NA	NA	720	0.44027777777777777
VNG_1008G	archaellin A1	Cell motility	4.587140970438371	3.764407455618907	591	0.6074450084602369
VNG_1009G	archaellin A2	Cell motility	4.654264498169946	3.2183022576826517	585	0.6017094017094017
VNG_1011C	GTP cyclohydrolase 3	Function unknown	3.3648857582829805	3.1892503541502597	768	0.6744791666666666
VNG_1012H	glutaredoxin	Posttranslational modification, protein turnover, chaperones	3.639280882079624	2.8475246499024855	246	0.6178861788617886
VNG_1013G	transducer protein HtrXIII	Signal transduction mechanisms	2.4397688347305633	2.6216968023398355	1272	0.6690251572327044
VNG_1014G	DNA-directed DNA polymerase Y	Replication, recombination and repair	NA	NA	1236	0.720873786407767
VNG_1015H	uncharacterized protein	Function unknown	NA	NA	375	0.696
VNG_1017H	probable glycosyltransferase, type 1	Cell wall/membrane/envelope biogenesis	2.0327753977401426	NA	1104	0.730072463768116
VNG_1018G	probable oxidoreductase (aldo-keto reductase family protein)	General function prediction only	1.7879916107496967	1.9698652224765782	1998	0.7557557557557557
VNG_1020C	CDP-alcohol 1-archaetidyltransferase	Lipid transport and metabolism	NA	NA	852	0.744131455399061
VNG_1021C	GTP cyclohydrolase 3	Nucleotide transport and metabolism	2.6900984377325803	2.958990479407709	762	0.7152230971128609
VNG_1023C	oxidoreductase (homolog to zinc-containingalcohol dehydrogenase / threonine 3-dehydrogenase)	Amino acid transport and metabolism	2.440832096881346	2.1328468720338014	1017	0.7227138643067846
VNG_1024C	PtpS family protein	Coenzyme transport and metabolism	3.044663786418881	2.786571014371188	408	0.6985294117647058
VNG_1025H	homolog to S-adenosylmethionine-dependentmethyltransferase	General function prediction only	1.8185033280633054	1.9667146283423818	846	0.7423167848699763
VNG_1026H	DUF457 family protein	General function prediction only	NA	NA	555	0.7585585585585586
VNG_1027G	triosephosphate isomerase	Carbohydrate transport and metabolism	2.6699233131413846	3.50674543825218	645	0.7472868217054264
VNG_1029C	cro/C1 family transcription regulator	Translation, ribosomal structure and biogenesis	3.5201470871192098	3.3136893790025734	540	0.6722222222222223
VNG_1030G	probable archaetidylglycerolphosphate synthase	Lipid transport and metabolism	1.9988890443509257	2.321000350508703	600	0.7166666666666667
VNG_1031C	probable adenylate kinase	Nucleotide transport and metabolism	2.5609209740575958	2.819973105226565	510	0.696078431372549
VNG_1033G	histidinol-phosphate aminotransferase	Amino acid transport and metabolism	2.3271503401613978	2.8917868442914307	1101	0.7084468664850136
